date,country,ticker,top_5_weight,tech_sector_weight,n_holdings_used,status,notes
2016-06-30,Australia,EWA US Equity,36.5565,0.0,74,ok,pct(sum=98.8)
2016-09-30,Australia,EWA US Equity,37.6104,0.0,73,ok,pct(sum=99.1)
2016-12-31,Australia,EWA US Equity,39.8815,0.0,72,ok,pct(sum=99.3)
2017-03-31,Australia,EWA US Equity,39.3254,0.0,74,ok,pct(sum=98.2)
2017-06-30,Australia,EWA US Equity,37.29,0.0,73,ok,pct(sum=97.9)
2017-09-30,Australia,EWA US Equity,38.3726,0.0,72,ok,pct(sum=97.8)
2017-12-31,Australia,EWA US Equity,37.709,0.0,70,ok,pct(sum=99.7)
2018-03-31,Australia,EWA US Equity,36.5477,0.0,71,ok,pct(sum=99.0)
2018-06-30,Australia,EWA US Equity,34.7751,0.0,71,ok,pct(sum=99.1)
2018-09-30,Australia,EWA US Equity,34.6874,0.0,72,ok,pct(sum=99.0)
2018-12-31,Australia,EWA US Equity,36.3193,0.0,73,ok,pct(sum=99.7)
2019-03-31,Australia,EWA US Equity,36.3825,0.0,71,ok,pct(sum=98.8)
2019-06-30,Australia,EWA US Equity,35.6532,0.0,73,ok,pct(sum=99.3)
2019-09-30,Australia,EWA US Equity,34.8216,0.0,74,ok,pct(sum=99.5)
2019-12-31,Australia,EWA US Equity,34.6791,0.2275,75,ok,pct(sum=99.5)
2020-03-31,Australia,EWA US Equity,39.3803,0.2224,71,ok,pct(sum=98.7)
2020-06-30,Australia,EWA US Equity,37.4855,0.214,67,ok,pct(sum=99.7)
2020-09-30,Australia,EWA US Equity,36.8237,0.2992,65,ok,pct(sum=99.1)
2020-12-31,Australia,EWA US Equity,37.5364,1.5434,65,ok,pct(sum=100.0)
2021-03-31,Australia,EWA US Equity,38.2463,1.2922,68,ok,pct(sum=99.3)
2021-06-30,Australia,EWA US Equity,38.595,1.3924,66,ok,pct(sum=99.4)
2021-09-30,Australia,EWA US Equity,37.7238,1.6136,67,ok,pct(sum=99.1)
2021-12-31,Australia,EWA US Equity,37.2233,1.665,64,ok,pct(sum=99.8)
2022-03-31,Australia,EWA US Equity,43.3647,1.2013,62,ok,pct(sum=99.3)
2022-06-30,Australia,EWA US Equity,41.664,1.0178,61,ok,pct(sum=99.5)
2022-09-30,Australia,EWA US Equity,42.4682,1.1434,61,ok,pct(sum=99.0)
2022-12-31,Australia,EWA US Equity,43.1794,1.0136,60,ok,pct(sum=99.8)
2023-03-31,Australia,EWA US Equity,40.9209,1.2513,60,ok,pct(sum=98.7)
2023-06-30,Australia,EWA US Equity,39.875,1.7555,60,ok,pct(sum=99.4)
2023-09-30,Australia,EWA US Equity,39.8139,1.5771,60,ok,pct(sum=98.6)
2023-12-31,Australia,EWA US Equity,41.843,1.5866,59,ok,pct(sum=99.8)
2024-03-31,Australia,EWA US Equity,40.0791,1.8266,59,ok,pct(sum=98.6)
2024-06-30,Australia,EWA US Equity,41.703,1.9479,59,ok,pct(sum=99.4)
2024-09-30,Australia,EWA US Equity,41.559,2.2489,58,ok,pct(sum=99.0)
2024-12-31,Australia,EWA US Equity,42.5892,2.4324,55,ok,pct(sum=99.7)
2025-03-31,Australia,EWA US Equity,43.0648,2.0655,49,ok,pct(sum=99.3)
2025-06-30,Australia,EWA US Equity,42.7405,2.4225,48,ok,pct(sum=100.0)
2025-09-30,Australia,EWA US Equity,43.1023,2.1944,47,ok,pct(sum=100.0)
2025-12-31,Australia,EWA US Equity,44.4358,1.6699,46,ok,pct(sum=100.0)
2026-03-31,Australia,EWA US Equity,46.7761,1.0559,46,ok,pct(sum=100.0)
2026-06-30,Australia,EWA US Equity,45.5129,0.8959,47,ok,pct(sum=100.0)
2016-06-30,Brazil,EWZ US Equity,36.2294,0.5257,60,ok,pct(sum=100.0)
2016-09-30,Brazil,EWZ US Equity,37.7987,0.4663,60,ok,pct(sum=100.0)
2016-12-31,Brazil,EWZ US Equity,37.9888,0.0,58,ok,pct(sum=100.0)
2017-03-31,Brazil,EWZ US Equity,37.8938,0.0,57,ok,pct(sum=100.0)
2017-06-30,Brazil,EWZ US Equity,37.2489,0.0,57,ok,pct(sum=100.0)
2017-09-30,Brazil,EWZ US Equity,40.536,0.0,56,ok,pct(sum=100.0)
2017-12-31,Brazil,EWZ US Equity,42.6152,0.0,55,ok,pct(sum=100.0)
2018-03-31,Brazil,EWZ US Equity,39.589,0.0,55,ok,pct(sum=99.7)
2018-06-30,Brazil,EWZ US Equity,38.2444,0.0,57,ok,pct(sum=99.7)
