timestamp,ticker,quarter,call_type,status,n_rows,notes
2026-07-05T02:14:09,EWA US Equity,2016-06-30,holdings,ok,75,
2026-07-05T02:14:10,EWA US Equity,2016-06-30,gics_ref_batch,ok,74,new_tickers=74
2026-07-05T02:14:10,EWA US Equity,2016-09-30,holdings,ok,74,
2026-07-05T02:14:11,EWA US Equity,2016-12-31,holdings,ok,74,
2026-07-05T02:14:11,EWA US Equity,2017-03-31,holdings,ok,76,
2026-07-05T02:14:12,EWA US Equity,2017-03-31,gics_ref_batch,ok,2,new_tickers=2
2026-07-05T02:14:12,EWA US Equity,2017-06-30,holdings,ok,75,
2026-07-05T02:14:12,EWA US Equity,2017-06-30,gics_ref_batch,ok,1,new_tickers=1
2026-07-05T02:14:13,EWA US Equity,2017-09-30,holdings,ok,74,
2026-07-05T02:14:14,EWA US Equity,2017-12-31,holdings,ok,71,
2026-07-05T02:14:14,EWA US Equity,2018-03-31,holdings,ok,72,
2026-07-05T02:14:15,EWA US Equity,2018-06-30,holdings,ok,72,
2026-07-05T02:14:15,EWA US Equity,2018-06-30,gics_ref_batch,ok,2,new_tickers=2
2026-07-05T02:14:16,EWA US Equity,2018-09-30,holdings,ok,73,
2026-07-05T02:14:16,EWA US Equity,2018-09-30,gics_ref_batch,ok,1,new_tickers=1
2026-07-05T02:14:16,EWA US Equity,2018-12-31,holdings,ok,74,
2026-07-05T02:14:17,EWA US Equity,2018-12-31,gics_ref_batch,ok,3,new_tickers=3
2026-07-05T02:14:17,EWA US Equity,2019-03-31,holdings,ok,72,
2026-07-05T02:14:18,EWA US Equity,2019-03-31,gics_ref_batch,ok,1,new_tickers=1
2026-07-05T02:14:18,EWA US Equity,2019-06-30,holdings,ok,74,
2026-07-05T02:14:19,EWA US Equity,2019-06-30,gics_ref_batch,ok,1,new_tickers=1
2026-07-05T02:14:19,EWA US Equity,2019-09-30,holdings,ok,77,
2026-07-05T02:14:20,EWA US Equity,2019-09-30,gics_ref_batch,ok,2,new_tickers=2
2026-07-05T02:14:20,EWA US Equity,2019-12-31,holdings,ok,76,
2026-07-05T02:14:21,EWA US Equity,2019-12-31,gics_ref_batch,ok,1,new_tickers=1
2026-07-05T02:14:21,EWA US Equity,2020-03-31,holdings,ok,72,
2026-07-05T02:14:22,EWA US Equity,2020-06-30,holdings,ok,69,
2026-07-05T02:14:22,EWA US Equity,2020-06-30,gics_ref_batch,ok,5,new_tickers=5
2026-07-05T02:14:23,EWA US Equity,2020-09-30,holdings,ok,66,
2026-07-05T02:14:24,EWA US Equity,2020-12-31,holdings,ok,69,
2026-07-05T02:14:24,EWA US Equity,2020-12-31,gics_ref_batch,ok,1,new_tickers=1
2026-07-05T02:14:25,EWA US Equity,2021-03-31,holdings,ok,69,
2026-07-05T02:14:25,EWA US Equity,2021-03-31,gics_ref_batch,ok,1,new_tickers=1
2026-07-05T02:14:26,EWA US Equity,2021-06-30,holdings,ok,67,
2026-07-05T02:14:26,EWA US Equity,2021-06-30,gics_ref_batch,ok,2,new_tickers=2
2026-07-05T02:14:27,EWA US Equity,2021-09-30,holdings,ok,68,
2026-07-05T02:14:27,EWA US Equity,2021-09-30,gics_ref_batch,ok,1,new_tickers=1
2026-07-05T02:14:28,EWA US Equity,2021-12-31,holdings,ok,66,
2026-07-05T02:14:28,EWA US Equity,2021-12-31,gics_ref_batch,ok,1,new_tickers=1
2026-07-05T02:14:28,EWA US Equity,2022-03-31,holdings,ok,63,
2026-07-05T02:14:29,EWA US Equity,2022-03-31,gics_ref_batch,ok,1,new_tickers=1
2026-07-05T02:14:29,EWA US Equity,2022-06-30,holdings,ok,62,
2026-07-05T02:14:30,EWA US Equity,2022-06-30,gics_ref_batch,ok,1,new_tickers=1
2026-07-05T02:14:30,EWA US Equity,2022-09-30,holdings,ok,62,
2026-07-05T02:14:31,EWA US Equity,2022-12-31,holdings,ok,61,
2026-07-05T02:14:32,EWA US Equity,2022-12-31,gics_ref_batch,ok,2,new_tickers=2
2026-07-05T02:14:32,EWA US Equity,2023-03-31,holdings,ok,61,
2026-07-05T02:14:33,EWA US Equity,2023-06-30,holdings,ok,61,
2026-07-05T02:14:34,EWA US Equity,2023-09-30,holdings,ok,61,
2026-07-05T02:14:34,EWA US Equity,2023-12-31,holdings,ok,60,
2026-07-05T02:14:35,EWA US Equity,2023-12-31,gics_ref_batch,ok,1,new_tickers=1
2026-07-05T02:14:35,EWA US Equity,2024-03-31,holdings,ok,60,
2026-07-05T02:14:35,EWA US Equity,2024-03-31,gics_ref_batch,ok,1,new_tickers=1
2026-07-05T02:14:36,EWA US Equity,2024-06-30,holdings,ok,60,
2026-07-05T02:14:36,EWA US Equity,2024-06-30,gics_ref_batch,ok,1,new_tickers=1
2026-07-05T02:14:37,EWA US Equity,2024-09-30,holdings,ok,59,
2026-07-05T02:14:38,EWA US Equity,2024-12-31,holdings,ok,56,
2026-07-05T02:14:38,EWA US Equity,2025-03-31,holdings,ok,50,
2026-07-05T02:14:39,EWA US Equity,2025-06-30,holdings,ok,49,
2026-07-05T02:14:39,EWA US Equity,2025-06-30,gics_ref_batch,ok,1,new_tickers=1
2026-07-05T02:14:40,EWA US Equity,2025-09-30,holdings,ok,48,
2026-07-05T02:14:41,EWA US Equity,2025-12-31,holdings,ok,47,
2026-07-05T02:14:41,EWA US Equity,2025-12-31,gics_ref_batch,ok,1,new_tickers=1
2026-07-05T02:14:42,EWA US Equity,2026-03-31,holdings,ok,47,
2026-07-05T02:14:43,EWA US Equity,2026-06-30,holdings,ok,48,
2026-07-05T02:14:43,EWZ US Equity,2016-06-30,holdings,ok,61,
2026-07-05T02:14:44,EWZ US Equity,2016-06-30,gics_ref_batch,ok,59,new_tickers=59
2026-07-05T02:14:44,EWZ US Equity,2016-09-30,holdings,ok,61,
2026-07-05T02:14:45,EWZ US Equity,2016-12-31,holdings,ok,58,
2026-07-05T02:14:45,EWZ US Equity,2017-03-31,holdings,ok,58,
2026-07-05T02:14:46,EWZ US Equity,2017-03-31,gics_ref_batch,ok,1,new_tickers=1
2026-07-05T02:14:46,EWZ US Equity,2017-06-30,holdings,ok,58,
2026-07-05T02:14:46,EWZ US Equity,2017-06-30,gics_ref_batch,ok,1,new_tickers=1
2026-07-05T02:14:47,EWZ US Equity,2017-09-30,holdings,ok,56,
2026-07-05T02:14:47,EWZ US Equity,2017-12-31,holdings,ok,55,
2026-07-05T02:14:48,EWZ US Equity,2017-12-31,gics_ref_batch,ok,3,new_tickers=3
2026-07-05T02:14:48,EWZ US Equity,2018-03-31,holdings,ok,56,
2026-07-05T02:14:49,EWZ US Equity,2018-03-31,gics_ref_batch,ok,1,new_tickers=1
2026-07-05T02:14:49,EWZ US Equity,2018-06-30,holdings,ok,58,
2026-07-05T02:14:50,EWZ US Equity,2018-06-30,gics_ref_batch,ok,6,new_tickers=6
2026-07-05T02:14:50,EWZ US Equity,2018-09-30,holdings,ok,58,
2026-07-05T02:14:51,EWZ US Equity,2018-12-31,holdings,ok,56,
2026-07-05T02:14:51,EWZ US Equity,2019-03-31,holdings,ok,53,
2026-07-05T02:14:52,EWZ US Equity,2019-06-30,holdings,ok,56,
2026-07-05T02:14:52,EWZ US Equity,2019-06-30,gics_ref_batch,ok,3,new_tickers=3
2026-07-05T02:14:53,EWZ US Equity,2019-09-30,holdings,ok,59,
2026-07-05T02:14:53,EWZ US Equity,2019-09-30,gics_ref_batch,ok,1,new_tickers=1
2026-07-05T02:14:54,EWZ US Equity,2019-12-31,holdings,ok,60,
2026-07-05T02:14:54,EWZ US Equity,2019-12-31,gics_ref_batch,ok,4,new_tickers=4
2026-07-05T02:14:55,EWZ US Equity,2020-03-31,holdings,ok,55,
2026-07-05T02:14:55,EWZ US Equity,2020-03-31,gics_ref_batch,ok,1,new_tickers=1
2026-07-05T02:14:56,EWZ US Equity,2020-06-30,holdings,ok,57,
2026-07-05T02:14:56,EWZ US Equity,2020-06-30,gics_ref_batch,ok,1,new_tickers=1
2026-07-05T02:14:57,EWZ US Equity,2020-09-30,holdings,ok,56,
2026-07-05T02:14:57,EWZ US Equity,2020-09-30,gics_ref_batch,ok,1,new_tickers=1
2026-07-05T02:14:57,EWZ US Equity,2020-12-31,holdings,ok,56,
2026-07-05T02:14:58,EWZ US Equity,2020-12-31,gics_ref_batch,ok,3,new_tickers=3
2026-07-05T02:14:58,EWZ US Equity,2021-03-31,holdings,ok,54,
2026-07-05T02:14:59,EWZ US Equity,2021-03-31,gics_ref_batch,ok,1,new_tickers=1
2026-07-05T02:14:59,EWZ US Equity,2021-06-30,holdings,ok,55,
2026-07-05T02:15:00,EWZ US Equity,2021-06-30,gics_ref_batch,ok,2,new_tickers=2
2026-07-05T02:15:00,EWZ US Equity,2021-09-30,holdings,ok,54,
2026-07-05T02:15:01,EWZ US Equity,2021-12-31,holdings,ok,51,
2026-07-05T02:15:01,EWZ US Equity,2022-03-31,holdings,ok,51,
2026-07-05T02:15:02,EWZ US Equity,2022-03-31,gics_ref_batch,ok,2,new_tickers=2
2026-07-05T02:15:02,EWZ US Equity,2022-06-30,holdings,ok,50,
2026-07-05T02:15:03,EWZ US Equity,2022-06-30,gics_ref_batch,ok,1,new_tickers=1
2026-07-05T02:15:03,EWZ US Equity,2022-09-30,holdings,ok,50,
2026-07-05T02:15:04,EWZ US Equity,2022-09-30,gics_ref_batch,ok,1,new_tickers=1
2026-07-05T02:15:04,EWZ US Equity,2022-12-31,holdings,ok,51,
2026-07-05T02:15:05,EWZ US Equity,2022-12-31,gics_ref_batch,ok,2,new_tickers=2
2026-07-05T02:15:05,EWZ US Equity,2023-03-31,holdings,ok,49,
2026-07-05T02:15:06,EWZ US Equity,2023-03-31,gics_ref_batch,ok,2,new_tickers=2
2026-07-05T02:15:06,EWZ US Equity,2023-06-30,holdings,ok,48,
2026-07-05T02:15:07,EWZ US Equity,2023-09-30,holdings,ok,49,
2026-07-05T02:15:07,EWZ US Equity,2023-09-30,gics_ref_batch,ok,1,new_tickers=1
2026-07-05T02:15:08,EWZ US Equity,2023-12-31,holdings,ok,50,
2026-07-05T02:15:08,EWZ US Equity,2023-12-31,gics_ref_batch,ok,1,new_tickers=1
2026-07-05T02:15:09,EWZ US Equity,2024-03-31,holdings,ok,50,
2026-07-05T02:15:09,EWZ US Equity,2024-03-31,gics_ref_batch,ok,1,new_tickers=1
2026-07-05T02:15:10,EWZ US Equity,2024-06-30,holdings,ok,51,
2026-07-05T02:15:10,EWZ US Equity,2024-06-30,gics_ref_batch,ok,2,new_tickers=2
2026-07-05T02:15:11,EWZ US Equity,2024-09-30,holdings,ok,54,
2026-07-05T02:15:11,EWZ US Equity,2024-09-30,gics_ref_batch,ok,6,new_tickers=6
2026-07-05T02:15:12,EWZ US Equity,2024-12-31,holdings,ok,50,
2026-07-05T02:15:12,EWZ US Equity,2025-03-31,holdings,ok,47,
2026-07-05T02:15:13,EWZ US Equity,2025-03-31,gics_ref_batch,ok,1,new_tickers=1
2026-07-05T02:15:13,EWZ US Equity,2025-06-30,holdings,ok,45,
2026-07-05T02:15:13,EWZ US Equity,2025-06-30,gics_ref_batch,ok,1,new_tickers=1
2026-07-05T02:15:14,EWZ US Equity,2025-09-30,holdings,ok,44,
2026-07-05T02:15:14,EWZ US Equity,2025-09-30,gics_ref_batch,ok,1,new_tickers=1
2026-07-05T02:15:15,EWZ US Equity,2025-12-31,holdings,ok,47,
2026-07-05T02:15:15,EWZ US Equity,2025-12-31,gics_ref_batch,ok,1,new_tickers=1
2026-07-05T02:15:16,EWZ US Equity,2026-03-31,holdings,ok,46,
2026-07-05T02:15:17,EWZ US Equity,2026-06-30,holdings,ok,48,
2026-07-05T02:15:17,EWZ US Equity,2026-06-30,gics_ref_batch,ok,3,new_tickers=3
2026-07-05T02:15:18,EWC US Equity,2016-06-30,holdings,ok,95,
2026-07-05T02:15:19,EWC US Equity,2016-06-30,gics_ref_batch,ok,93,new_tickers=93
2026-07-05T02:15:19,EWC US Equity,2016-09-30,holdings,ok,95,
2026-07-05T02:15:20,EWC US Equity,2016-12-31,holdings,ok,97,
2026-07-05T02:15:20,EWC US Equity,2016-12-31,gics_ref_batch,ok,1,new_tickers=1
2026-07-05T02:15:21,EWC US Equity,2017-03-31,holdings,ok,98,
2026-07-05T02:15:22,EWC US Equity,2017-06-30,holdings,ok,98,
2026-07-05T02:15:22,EWC US Equity,2017-06-30,gics_ref_batch,ok,1,new_tickers=1
2026-07-05T02:15:23,EWC US Equity,2017-09-30,holdings,ok,98,
2026-07-05T02:15:24,EWC US Equity,2017-12-31,holdings,ok,94,
2026-07-05T02:15:24,EWC US Equity,2017-12-31,gics_ref_batch,ok,1,new_tickers=1
2026-07-05T02:15:25,EWC US Equity,2018-03-31,holdings,ok,93,
2026-07-05T02:15:25,EWC US Equity,2018-03-31,gics_ref_batch,ok,1,new_tickers=1
2026-07-05T02:15:25,EWC US Equity,2018-06-30,holdings,ok,92,
2026-07-05T02:15:26,EWC US Equity,2018-06-30,gics_ref_batch,ok,1,new_tickers=1
2026-07-05T02:15:26,EWC US Equity,2018-09-30,holdings,ok,93,
2026-07-05T02:15:26,EWC US Equity,2018-09-30,gics_ref_batch,ok,1,new_tickers=1
