timestamp,economy,country_label,ticker_tried,status,name_returned,sample_px_last,reject_reason,n_history_rows
2026-07-05T14:17:56.026098,India,India,INPIINDY Index,history_ok,,,,38
2026-07-05T14:17:56.355280,Italy,Italy,ITPRWAY Index,history_ok,,,,328
2026-07-05T14:17:56.656162,Malaysia,Malaysia,MAIPINDY Index,history_ok,,,,160
2026-07-05T14:17:56.929318,Mexico,Mexico,MXIPTYOY Index,history_ok,,,,328
2026-07-05T14:17:57.452893,Netherlands,Netherlands,NEIPIYOY Index,history_ok,,,,60
2026-07-05T14:17:57.730066,Sweden,Sweden,SWIPIYOY Index,history_ok,,,,316
2026-07-05T14:17:58.032204,Switzerland,Switzerland,SZIPIYOY Index,history_ok,,,,85
2026-07-05T14:17:58.524065,Thailand,Thailand,THMPIYOY Index,history_ok,,,,139
2026-07-05T14:17:58.981408,Turkey,Turkey,TUIPIYOY Index,history_ok,,,,121
2026-07-05T14:17:59.260114,U.K.,U.K.,UKIPIYOY Index,history_ok,,,,328
