test,date,ic,n
risk_abs_return,2000-02-01,0.09691069721827124,21
risk_abs_return,2000-03-01,-0.024065072463597556,21
risk_abs_return,2000-04-01,-0.2634149823718111,21
risk_abs_return,2000-05-01,0.21398402271685393,21
risk_abs_return,2000-06-01,0.1216261770457498,21
risk_abs_return,2000-07-01,-0.2712198707383833,21
risk_abs_return,2000-08-01,0.22178891108342613,21
risk_abs_return,2000-09-01,0.3791874931426318,21
risk_abs_return,2000-10-01,0.1944718018004235,21
risk_abs_return,2000-11-01,0.24000031727209453,21
risk_abs_return,2000-12-01,0.5222771131964551,21
risk_abs_return,2001-01-01,-0.1508945084203955,21
risk_abs_return,2001-02-01,0.3557728280429152,21
risk_abs_return,2001-03-01,0.08130092048512688,21
risk_abs_return,2001-04-01,0.19967506071147165,21
risk_abs_return,2001-05-01,-0.1216261770457498,21
risk_abs_return,2001-06-01,0.40520378769787235,21
risk_abs_return,2001-07-01,0.05918707011317237,21
risk_abs_return,2001-08-01,-0.28422801801600356,21
risk_abs_return,2001-09-01,0.09691069721827124,21
risk_abs_return,2001-10-01,-0.41561030551996864,21
risk_abs_return,2001-11-01,-0.4442282295307332,21
risk_abs_return,2001-12-01,-0.5131714101021209,21
risk_abs_return,2002-01-01,0.055284625929886276,21
risk_abs_return,2002-02-01,-0.22959379944999833,21
risk_abs_return,2002-03-01,0.10601640031260545,21
risk_abs_return,2002-04-01,0.05138218174660018,21
risk_abs_return,2002-05-01,0.14634165687322837,21
risk_abs_return,2002-06-01,0.08260173521288891,21
risk_abs_return,2002-07-01,-0.37138260477605956,21
risk_abs_return,2002-08-01,-0.027967516646883645,21
risk_abs_return,2002-09-01,0.061788699568696426,21
risk_abs_return,2002-10-01,-0.24390276145538062,21
risk_abs_return,2002-11-01,-0.10601640031260545,21
risk_abs_return,2002-12-01,0.129431065412322,21
risk_abs_return,2003-01-01,-0.2998377947491479,21
risk_abs_return,2003-02-01,0.16715469251742088,21
risk_abs_return,2003-03-01,0.17495958088399305,21
risk_abs_return,2003-04-01,-0.03967484919674192,21
risk_abs_return,2003-05-01,-0.08260173521288891,21
risk_abs_return,2003-06-01,-0.000650407363881015,21
risk_abs_return,2003-07-01,-0.005853666274929135,21
risk_abs_return,2003-08-01,0.04097566392450395,21
risk_abs_return,2003-09-01,0.19967506071147165,21
risk_abs_return,2003-10-01,-0.4065046024256344,21
risk_abs_return,2003-11-01,0.11121965922365357,21
risk_abs_return,2003-12-01,-0.16585387778965882,21
risk_abs_return,2004-01-01,0.4468298589862573,21
risk_abs_return,2004-02-01,-0.06308951429645847,21
risk_abs_return,2004-03-01,0.2673174265550972,21
risk_abs_return,2004-04-01,-0.17040672933682596,21
risk_abs_return,2004-05-01,-0.08910580885169905,21
risk_abs_return,2004-06-01,0.025365887191359588,21
risk_abs_return,2004-07-01,-0.10081314140155732,21
risk_abs_return,2004-08-01,0.09430906776274717,21
risk_abs_return,2004-09-01,0.043577293380028005,21
risk_abs_return,2004-10-01,0.27252068546614533,21
risk_abs_return,2004-11-01,0.08130092048512688,21
risk_abs_return,2004-12-01,-0.21593524480849702,21
