Year,AUT,AUS,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,GRC,IRL,ITA,JPN,KOR,NLD,NOR,NZL,PRT,SWE,USA,CHN,IND,BRA,MEX,RUS,ZAF,IDN,THA,MYS,POL,TUR,CHL
1974,-0.6582,-3.5225,-0.9048,-3.2468,-1.9145,-0.5738,-1.2391,-2.8872,-1.3964,-2.0581,-0.6506,-1.809,-2.7865,-1.9072,-4.7703,-6.9879,-2.6645,-0.9052,-3.5355,-2.3716,-0.3069,-2.4513,-7.0519,-7.369,-7.4665,-8.9706,-2.7733,-8.0487,-7.9428,-8.0861,-7.3635,-2.6319,-7.6554,-6.2695
1975,-0.5819,-3.4203,-0.8465,-3.1754,-1.782,-0.4469,-1.2632,-2.8331,-1.434,-2.0279,-0.5094,-1.6973,-2.8557,-1.7982,-4.6997,-6.8287,-2.5175,-0.8651,-3.4494,-2.3375,-0.3223,-2.3706,-6.7099,-7.3563,-7.4076,-8.8678,-2.7324,-8.0279,-7.8057,-7.9254,-7.3337,-2.7535,-7.5702,-6.1377
1976,-0.5429,-3.2862,-0.8124,-3.1255,-1.6111,-0.3521,-1.2644,-2.7462,-1.4936,-1.9921,-0.3758,-1.6537,-2.912,-1.6668,-4.5908,-6.6045,-2.4001,-0.8172,-3.3365,-2.292,-0.3136,-2.3187,-6.3573,-7.3478,-7.3644,-8.7518,-2.7263,-7.9981,-7.6778,-7.7657,-7.3219,-2.9239,-7.5089,-6.0122
1977,-0.5676,-3.1575,-0.8431,-3.1076,-1.5015,-0.3544,-1.2515,-2.6442,-1.5713,-2.0034,-0.2966,-1.6256,-2.962,-1.5467,-4.4452,-6.3998,-2.3308,-0.7698,-3.2096,-2.2294,-0.3114,-2.3335,-6.0461,-7.3407,-7.3366,-8.6288,-2.7209,-7.9559,-7.5545,-7.5986,-7.3265,-3.1026,-7.4774,-5.8965
1978,-0.6157,-3.0619,-0.9106,-3.1197,-1.4585,-0.4362,-1.2635,-2.5344,-1.6619,-2.0267,-0.2939,-1.6349,-3.0302,-1.4284,-4.2378,-6.2377,-2.2952,-0.743,-3.0912,-2.1499,-0.324,-2.4089,-5.7352,-7.3294,-7.3226,-8.5052,-2.6829,-7.9094,-7.4382,-7.4277,-7.337,-3.2503,-7.432,-5.7925
1979,-0.6617,-2.9968,-0.9844,-3.1474,-1.4542,-0.5419,-1.2859,-2.4024,-1.7743,-2.0718,-0.3444,-1.623,-3.117,-1.2965,-3.9847,-6.1056,-2.2908,-0.7454,-3.0037,-2.0273,-0.3532,-2.5114,-5.4465,-7.3252,-7.3224,-8.3803,-2.6584,-7.8708,-7.3337,-7.2682,-7.349,-3.3824,-7.3722,-5.6992
1980,-0.7279,-2.9703,-1.058,-3.1773,-1.4902,-0.6464,-1.2861,-2.2497,-1.8639,-2.1487,-0.4205,-1.7455,-3.2312,-1.17,-3.6966,-6.0003,-2.3062,-0.7687,-2.9365,-1.8712,-0.3956,-2.6353,-5.2443,-7.3395,-7.3304,-8.2526,-2.6823,-7.8358,-7.2367,-7.133,-7.3743,-3.4999,-7.3111,-5.6165
1981,-0.857,-2.9777,-1.1355,-3.2142,-1.5581,-0.761,-1.2726,-2.0796,-1.9389,-2.2503,-0.5225,-1.8931,-3.3518,-1.0468,-3.3974,-5.9307,-2.3369,-0.8238,-2.8907,-1.7247,-0.4494,-2.7781,-5.1227,-7.3611,-7.336,-8.128,-2.7048,-7.8208,-7.1439,-7.0179,-7.4175,-3.5997,-7.2548,-5.5446
1982,-1.0406,-3.0037,-1.2175,-3.2695,-1.6499,-0.9019,-1.2803,-1.9104,-2.06,-2.3666,-0.6581,-1.8377,-3.4419,-0.9275,-3.0988,-5.8906,-2.3731,-0.9228,-2.9039,-1.6341,-0.5268,-2.9324,-5.1325,-7.383,-7.3327,-8.0129,-2.7287,-7.8414,-7.0586,-6.9117,-7.475,-3.7147,-7.1939,-5.4826
1983,-1.226,-3.0379,-1.2911,-3.3376,-1.7496,-1.0529,-1.3003,-1.761,-2.2001,-2.4612,-0.8374,-1.736,-3.4927,-0.8384,-2.8069,-5.8598,-2.4154,-1.0404,-2.9784,-1.5808,-0.6188,-3.0912,-5.2029,-7.4093,-7.3173,-7.9109,-2.7959,-7.8797,-6.9729,-6.8091,-7.5436,-3.839,-7.1246,-5.4319
1984,-1.3799,-3.0789,-1.3504,-3.4014,-1.8475,-1.1675,-1.3335,-1.6246,-2.3223,-2.5419,-1.029,-1.6022,-3.4887,-0.7703,-2.5142,-5.8031,-2.4828,-1.1657,-3.0638,-1.5237,-0.7239,-3.2458,-5.236,-7.437,-7.2881,-7.8252,-2.8808,-7.9071,-6.8826,-6.7056,-7.623,-3.9176,-7.0457,-5.3955
1985,-1.4859,-3.1223,-1.3933,-3.447,-1.9402,-1.2336,-1.3925,-1.4816,-2.405,-2.5976,-1.2003,-1.4195,-3.4497,-0.7131,-2.2149,-5.6908,-2.5608,-1.3056,-3.1248,-1.4383,-0.8401,-3.3931,-5.282,-7.4587,-7.2439,-7.7557,-2.9393,-7.9289,-6.7809,-6.5993,-7.7102,-3.9277,-6.9675,-5.3727
1986,-1.5709,-3.1677,-1.4227,-3.4833,-2.0289,-1.2935,-1.4896,-1.3478,-2.4303,-2.6209,-1.3667,-1.2118,-3.4154,-0.6531,-1.9153,-5.5545,-2.6335,-1.4678,-3.198,-1.3285,-0.9801,-3.5283,-5.3566,-7.4738,-7.1819,-7.6905,-2.9853,-7.9603,-6.662,-6.4986,-7.7886,-3.8862,-6.892,-5.3598
1987,-1.6682,-3.2232,-1.4624,-3.5275,-2.1261,-1.3596,-1.6147,-1.252,-2.4464,-2.6416,-1.5391,-1.0422,-3.3782,-0.6016,-1.6349,-5.4281,-2.7261,-1.6666,-3.3115,-1.2162,-1.1571,-3.6441,-5.4759,-7.4826,-7.0997,-7.6272,-3.0151,-7.9829,-6.5386,-6.4122,-7.8443,-3.8132,-6.8172,-5.3547
1988,-1.7805,-3.2896,-1.5152,-3.5861,-2.2412,-1.4562,-1.7446,-1.1745,-2.4622,-2.6865,-1.6254,-0.8923,-3.3134,-0.5759,-1.3803,-5.3521,-2.8299,-1.8937,-3.4309,-1.101,-1.3569,-3.7574,-5.6624,-7.481,-7.0,-7.573,-3.0042,-7.9809,-6.4235,-6.3449,-7.8686,-3.6473,-6.7444,-5.3549
1989,-1.9005,-3.3583,-1.5769,-3.6608,-2.3563,-1.5787,-1.8865,-1.1161,-2.4629,-2.7472,-1.6991,-0.7356,-3.2415,-0.5738,-1.1403,-5.3218,-2.9229,-2.1256,-3.5484,-0.9887,-1.5781,-3.8839,-5.8539,-7.4651,-6.8896,-7.5204,-2.9425,-7.9464,-6.3188,-6.2978,-7.845,-3.4531,-6.6698,-5.3577
1990,-2.0222,-3.4255,-1.6482,-3.7314,-2.4665,-1.6543,-2.027,-1.0556,-2.4702,-2.775,-1.8415,-0.5772,-3.1839,-0.597,-0.9107,-5.2909,-3.0184,-2.3516,-3.6761,-0.8878,-1.8082,-4.0088,-5.9977,-7.4334,-6.7732,-7.47,-2.8189,-7.8623,-6.2262,-6.2679,-7.766,-3.2935,-6.5823,-5.3611
1991,-2.1432,-3.4821,-1.704,-3.7736,-2.6067,-1.6532,-2.1646,-1.0261,-2.4579,-2.7458,-1.9604,-0.4412,-3.1583,-0.5633,-0.6639,-5.2327,-3.0888,-2.5734,-3.7636,-0.8026,-2.0173,-4.1111,-6.0117,-7.389,-6.6514,-7.428,-2.6122,-7.7324,-6.1554,-6.2362,-7.663,-3.1174,-6.4831,-5.3595
1992,-2.2543,-3.5169,-1.729,-3.7895,-2.7294,-1.6199,-2.296,-1.0566,-2.445,-2.6894,-2.0559,-0.3996,-3.15,-0.5451,-0.4178,-5.1619,-3.1289,-2.7822,-3.8299,-0.7726,-2.189,-4.1725,-5.8794,-7.3386,-6.527,-7.3891,-2.3206,-7.5583,-6.0958,-6.1908,-7.5973,-2.9457,-6.3881,-5.3388
1993,-2.3365,-3.5304,-1.7137,-3.7793,-2.7809,-1.5531,-2.4039,-1.0979,-2.4095,-2.6291,-2.1345,-0.3818,-3.1302,-0.5808,-0.2072,-5.1316,-3.1536,-2.9567,-3.9063,-0.7843,-2.2996,-4.1932,-5.7483,-7.2853,-6.4076,-7.3499,-2.0273,-7.416,-6.0359,-6.1361,-7.5721,-2.7717,-6.3072,-5.2939
1994,-2.3607,-3.5256,-1.6892,-3.7435,-2.7853,-1.4306,-2.4855,-1.1452,-2.308,-2.5678,-2.2,-0.3418,-3.1151,-0.5395,-0.0516,-5.1348,-3.1598,-3.082,-3.9652,-0.7968,-2.3502,-4.1914,-5.6178,-7.2245,-6.2959,-7.3081,-1.8218,-7.2172,-5.9861,-6.0655,-7.5537,-2.5954,-6.2429,-5.2291
1995,-2.3344,-3.5102,-1.6788,-3.6873,-2.7527,-1.2976,-2.5501,-1.1846,-2.1911,-2.5108,-2.2535,-0.318,-3.1045,-0.5557,0.0715,-5.131,-3.1473,-3.1814,-4.005,-0.819,-2.3424,-4.1671,-5.4158,-7.1595,-6.1958,-7.2555,-1.6269,-6.9783,-5.9561,-5.97,-7.5286,-2.397,-6.1814,-5.15
1996,-2.2596,-3.4732,-1.6362,-3.5963,-2.6812,-1.1493,-2.5837,-1.2255,-2.0276,-2.415,-2.2622,-0.2905,-3.0854,-0.6071,0.2429,-5.0858,-3.0843,-3.2623,-4.0072,-0.8466,-2.2654,-4.1068,-5.2165,-7.0934,-6.1079,-7.1872,-1.3565,-6.7882,-5.9426,-5.849,-7.4877,-2.1568,-6.114,-5.0542
1997,-2.1337,-3.4002,-1.5402,-3.4565,-2.566,-0.9803,-2.5532,-1.2847,-1.8367,-2.2791,-2.201,-0.2859,-3.0782,-0.5713,0.4326,-4.9668,-2.9834,-3.3136,-3.9587,-0.8695,-2.1364,-4.0082,-5.0423,-7.0259,-6.0289,-7.1079,-1.077,-6.6126,-5.9402,-5.705,-7.4283,-1.9174,-6.0438,-4.9415
1998,-1.9823,-3.3006,-1.4177,-3.2852,-2.42,-0.7473,-2.4783,-1.3362,-1.6546,-2.1697,-2.1095,-0.3061,-3.1046,-0.4885,0.5861,-4.8194,-2.8849,-3.3373,-3.8634,-0.8735,-1.9718,-3.8949,-4.8794,-6.9604,-5.9567,-7.0219,-0.9001,-6.477,-5.9396,-5.5334,-7.3464,-1.7055,-5.9673,-4.82
1999,-1.8364,-3.1902,-1.3343,-3.1145,-2.2785,-0.5282,-2.3701,-1.4058,-1.4338,-2.09,-2.0448,-0.3427,-3.1582,-0.4068,0.6725,-4.6712,-2.7874,-3.3213,-3.7306,-0.8849,-1.7891,-3.7882,-4.739,-6.8909,-5.8797,-6.9261,-0.7952,-6.3586,-5.9292,-5.3251,-7.2278,-1.5356,-5.8852,-4.6903
2000,-1.7553,-3.085,-1.3429,-2.9577,-2.1677,-0.4461,-2.2467,-1.5039,-1.2214,-2.0916,-2.0299,-0.4145,-3.2295,-0.4215,0.7019,-4.5082,-2.7149,-3.2873,-3.582,-0.9145,-1.6563,-3.6916,-4.595,-6.8202,-5.7915,-6.8322,-0.7092,-6.2367,-5.908,-5.1099,-7.0498,-1.424,-5.7996,-4.5557
2001,-1.7096,-2.9838,-1.3939,-2.795,-2.0559,-0.4208,-2.1176,-1.6349,-1.0186,-2.153,-2.0075,-0.5279,-3.3028,-0.4849,0.7637,-4.3161,-2.63,-3.221,-3.4279,-0.9779,-1.5736,-3.5787,-4.4623,-6.7564,-5.6926,-6.748,-0.6475,-6.1026,-5.8755,-4.9188,-6.8265,-1.3137,-5.7119,-4.4238
2002,-1.6687,-2.8726,-1.4146,-2.6082,-1.9336,-0.3707,-1.9384,-1.8217,-0.8081,-2.1639,-1.9381,-0.6162,-3.3585,-0.554,0.8499,-4.0556,-2.4873,-3.1037,-3.2873,-1.0592,-1.4722,-3.4292,-4.3204,-6.6911,-5.5809,-6.6672,-0.6495,-5.9941,-5.8369,-4.7444,-6.601,-1.1996,-5.6247,-4.2976
2003,-1.6367,-2.7568,-1.4018,-2.4102,-1.812,-0.2828,-1.7333,-2.0077,-0.6338,-2.125,-1.8566,-0.6705,-3.3996,-0.6464,0.9179,-3.762,-2.3175,-2.9733,-3.1718,-1.1032,-1.3613,-3.2613,-4.1634,-6.6173,-5.4519,-6.5833,-0.7552,-5.9252,-5.8012,-4.5793,-6.3892,-1.1209,-5.5367,-4.1711
2004,-1.5892,-2.6459,-1.3875,-2.2205,-1.6885,-0.1736,-1.5288,-2.1728,-0.4844,-2.0817,-1.8018,-0.7381,-3.4425,-0.7435,0.9425,-3.4698,-2.1229,-2.8272,-3.0486,-1.1197,-1.2558,-3.0942,-4.0357,-6.531,-5.3111,-6.4886,-0.8731,-5.9028,-5.7768,-4.4185,-6.1901,-1.0695,-5.447,-4.0461
2005,-1.5456,-2.5489,-1.3994,-2.0411,-1.5723,-0.0976,-1.3089,-2.3242,-0.3497,-2.0506,-1.7885,-0.8216,-3.5227,-0.8101,0.9286,-3.1472,-1.907,-2.6592,-2.9053,-1.1164,-1.1584,-2.9313,-3.9158,-6.4263,-5.1693,-6.3791,-0.9726,-5.9265,-5.7641,-4.2514,-6.008,-1.0507,-5.3541,-3.9243
2006,-1.4786,-2.4682,-1.4218,-1.863,-1.4573,0.0262,-1.0839,-2.465,-0.2111,-2.0227,-1.7819,-0.9206,-3.6194,-0.8348,0.9267,-2.8309,-1.6561,-2.4892,-2.7583,-1.112,-1.0828,-2.7573,-3.8032,-6.3053,-5.0275,-6.2587,-1.0542,-5.9929,-5.7513,-4.0738,-5.8456,-1.0323,-5.2595,-3.8032
2007,-1.3599,-2.3983,-1.437,-1.6831,-1.3601,0.1861,-0.8728,-2.5955,-0.0739,-1.9822,-1.7527,-1.0071,-3.6729,-0.862,0.9407,-2.547,-1.3813,-2.3341,-2.6215,-1.0927,-1.0115,-2.5732,-3.6774,-6.1754,-4.8819,-6.1345,-1.1404,-6.0929,-5.7361,-3.8896,-5.7031,-1.0039,-5.1683,-3.6962
2008,-1.2191,-2.3407,-1.4429,-1.5058,-1.2915,0.2934,-0.6842,-2.6756,0.0357,-1.9134,-1.6988,-1.0915,-3.6666,-0.8751,0.9612,-2.2789,-1.125,-2.193,-2.4847,-1.0363,-0.9307,-2.3783,-3.5146,-6.0452,-4.7308,-6.0089,-1.2601,-6.2265,-5.7171,-3.6983,-5.5744,-1.0005,-5.0656,-3.6066
2009,-1.0765,-2.2825,-1.4426,-1.3334,-1.221,0.3531,-0.5002,-2.6751,0.1256,-1.835,-1.6471,-1.1854,-3.6179,-0.8566,0.9553,-2.039,-0.8914,-2.0459,-2.3359,-0.9502,-0.8547,-2.1718,-3.3744,-5.9189,-4.5719,-5.8867,-1.3474,-6.3499,-5.6901,-3.4991,-5.4461,-0.9763,-4.9428,-3.5251
2010,-0.9495,-2.1942,-1.4507,-1.1646,-1.1604,0.3644,-0.3103,-2.6282,0.2116,-1.758,-1.6147,-1.2454,-3.5688,-0.8096,0.9079,-1.8237,-0.6819,-1.8967,-2.1736,-0.837,-0.7968,-1.9599,-3.2542,-5.7944,-4.4062,-5.7675,-1.3882,-6.4302,-5.6486,-3.2688,-5.3139,-1.0248,-4.8137,-3.4419
2011,-0.8309,-2.0886,-1.4339,-0.9985,-1.1125,0.3808,-0.106,-2.5513,0.2993,-1.6649,-1.5781,-1.2602,-3.4895,-0.7342,0.8499,-1.6082,-0.4737,-1.7503,-1.9731,-0.7509,-0.7391,-1.7354,-3.1323,-5.6727,-4.242,-5.6504,-1.431,-6.4943,-5.594,-3.012,-5.1905,-1.1128,-4.6995,-3.3476
2012,-0.6909,-2.0014,-1.3779,-0.8268,-1.0452,0.4849,0.0958,-2.4035,0.3983,-1.5452,-1.5128,-1.2301,-3.3263,-0.6421,0.816,-1.3778,-0.247,-1.609,-1.7292,-0.6647,-0.6701,-1.5057,-2.981,-5.5541,-4.083,-5.5335,-1.4859,-6.5128,-5.5291,-2.7536,-5.0898,-1.0891,-4.6084,-3.2347
2013,-0.5462,-1.923,-1.2929,-0.6403,-0.9738,0.6,0.2761,-2.1817,0.4997,-1.396,-1.4164,-1.1567,-3.1047,-0.5381,0.8165,-1.1337,-0.0153,-1.4619,-1.495,-0.5195,-0.6122,-1.2831,-2.7535,-5.4339,-3.9295,-5.4121,-1.4906,-6.457,-5.4457,-2.4871,-5.0167,-1.0071,-4.5258,-3.1043
2014,-0.4625,-1.8361,-1.1851,-0.4414,-0.9095,0.5858,0.4174,-1.9129,0.59,-1.2321,-1.3222,-1.0469,-2.8708,-0.4176,0.8068,-0.8768,0.1999,-1.2934,-1.3161,-0.3481,-0.5783,-1.0755,-2.5162,-5.2994,-3.7796,-5.2813,-1.4245,-6.4267,-5.3396,-2.21,-4.9655,-0.9016,-4.4686,-2.9691
2015,-0.439,-1.7496,-1.0582,-0.251,-0.845,0.4731,0.5018,-1.6651,0.6884,-1.0458,-1.2343,-0.901,-2.6427,-0.2592,0.7608,-0.5892,0.3892,-1.1226,-1.1982,-0.162,-0.5592,-0.8897,-2.3036,-5.1596,-3.6289,-5.135,-1.367,-6.4521,-5.2025,-1.9265,-4.9277,-0.79,-4.4336,-2.831
2016,-0.4024,-1.6724,-0.9052,-0.0942,-0.792,0.3476,0.546,-1.4315,0.7611,-0.838,-1.1379,-0.7658,-2.4193,-0.0876,0.6488,-0.2719,0.5426,-0.9575,-1.1312,0.0305,-0.5744,-0.7289,-2.1033,-5.0322,-3.4726,-4.9721,-1.3431,-6.4368,-5.0308,-1.6396,-4.9021,-0.6777,-4.3798,-2.6985
