Year,AUT,AUS,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,GRC,IRL,ITA,JPN,KOR,NLD,NOR,NZL,PRT,SWE,USA,CHN,IND,BRA,MEX,RUS,ZAF,IDN,THA,MYS,POL,TUR,CHL
1950,-1.4581,-4.5246,-1.7893,-5.3045,-3.051,-1.6568,-3.8098,-4.3658,-5.5811,-2.2738,-2.6166,-4.9302,-3.3871,-3.7597,-6.3943,-8.1062,-4.9153,-4.2751,-4.6221,-4.8491,-3.2488,-4.8139,-6.6299,-7.9958,-9.1683,-9.3814,-5.7557,-8.7037,-8.5449,-8.2968,-7.9164,-5.789,-8.157,-7.9832
1951,-1.2879,-4.6334,-1.7782,-5.4438,-2.9599,-1.5116,-3.5764,-4.2369,-5.4705,-2.3943,-2.5103,-4.8806,-3.4459,-3.6938,-6.3585,-7.8867,-4.7954,-4.1029,-4.6711,-4.7664,-3.0438,-4.8396,-6.9251,-8.0918,-9.2344,-9.4259,-5.8433,-8.7005,-8.4278,-8.4228,-8.2573,-5.9585,-8.2118,-8.015
1952,-1.0715,-4.645,-1.7261,-5.5362,-2.8554,-1.3542,-3.326,-4.2454,-5.2639,-2.422,-2.3298,-4.8173,-3.4784,-3.5559,-6.1018,-7.7275,-4.5612,-3.8927,-4.6992,-4.7496,-2.8137,-4.7864,-7.2343,-8.1922,-9.289,-9.4567,-5.884,-8.6871,-8.363,-8.5568,-8.5469,-6.0859,-8.2719,-8.0397
1953,-0.842,-4.6255,-1.6751,-5.5997,-2.7408,-1.1873,-3.0996,-4.2309,-5.0736,-2.4247,-2.156,-4.7477,-3.4832,-3.405,-5.8031,-7.6941,-4.3655,-3.6992,-4.7451,-4.7084,-2.5652,-4.7308,-7.5293,-8.2989,-9.3238,-9.4652,-5.9646,-8.6552,-8.3499,-8.7006,-8.7898,-6.1656,-8.3283,-8.0479
1954,-0.6463,-4.6032,-1.616,-5.6572,-2.6246,-1.0141,-2.8945,-4.2001,-4.8523,-2.4094,-2.0115,-4.6866,-3.4662,-3.2776,-5.5376,-7.7611,-4.2043,-3.5022,-4.8022,-4.6446,-2.3027,-4.6995,-7.7565,-8.3683,-9.3311,-9.4602,-6.0147,-8.6267,-8.3915,-8.8334,-8.999,-6.1272,-8.3595,-8.0422
1955,-0.5211,-4.5723,-1.5704,-5.7037,-2.5217,-0.8827,-2.6941,-4.1801,-4.6298,-2.4054,-1.8881,-4.6551,-3.4214,-3.1972,-5.3367,-7.8905,-4.0866,-3.3207,-4.8491,-4.6012,-2.061,-4.6752,-7.9377,-8.3912,-9.3219,-9.4561,-6.0314,-8.6136,-8.4625,-8.9294,-9.1405,-6.0265,-8.333,-8.0284
1956,-0.4577,-4.5239,-1.5278,-5.7462,-2.4309,-0.799,-2.4945,-4.1654,-4.4014,-2.3778,-1.776,-4.6516,-3.3458,-3.1308,-5.1253,-8.0398,-3.9558,-3.1207,-4.8648,-4.5361,-1.8497,-4.634,-8.0262,-8.4005,-9.3101,-9.4515,-6.02,-8.5916,-8.5303,-9.0005,-9.2226,-5.9369,-8.3155,-8.0108
1957,-0.4045,-4.4506,-1.4842,-5.7986,-2.3523,-0.6465,-2.2943,-4.1515,-4.1563,-2.3168,-1.6745,-4.6476,-3.2662,-3.0625,-4.8816,-8.1876,-3.7901,-2.8968,-4.8604,-4.4555,-1.6516,-4.569,-8.0603,-8.3981,-9.2892,-9.4426,-5.9831,-8.555,-8.598,-9.0585,-9.2846,-5.8462,-8.3193,-7.9874
1958,-0.3599,-4.3852,-1.4478,-5.8194,-2.2766,-0.5147,-2.0977,-4.1271,-3.8871,-2.2398,-1.5864,-4.6332,-3.1667,-2.9848,-4.6674,-8.3423,-3.6592,-2.6758,-4.8668,-4.3872,-1.4481,-4.4884,-8.0357,-8.3805,-9.2566,-9.427,-5.9397,-8.5051,-8.6653,-9.1053,-9.3234,-5.7103,-8.2842,-7.9502
1959,-0.3512,-4.3398,-1.4074,-5.777,-2.1961,-0.4931,-1.9272,-4.0969,-3.6265,-2.1518,-1.5078,-4.6099,-3.0545,-2.9006,-4.5141,-8.4867,-3.5583,-2.4609,-4.8785,-4.3104,-1.2478,-4.3998,-7.8153,-8.3341,-9.2097,-9.4087,-5.8243,-8.4494,-8.732,-9.1369,-9.3334,-5.4776,-8.2127,-7.9006
1960,-0.3844,-4.3018,-1.3574,-5.7069,-2.1107,-0.5081,-1.7814,-4.0311,-3.3785,-2.0576,-1.4511,-4.576,-2.9569,-2.8077,-4.4032,-8.6104,-3.4569,-2.2397,-4.8852,-4.1791,-1.0548,-4.304,-7.3956,-8.2664,-9.1502,-9.3846,-5.6779,-8.3942,-8.7892,-9.1497,-9.3007,-5.1816,-8.1086,-7.839
1961,-0.4347,-4.2613,-1.3174,-5.6284,-2.0832,-0.5508,-1.6523,-3.9686,-3.1476,-1.9823,-1.4255,-4.4484,-2.879,-2.7205,-4.3257,-8.7113,-3.3785,-2.0122,-4.8828,-4.0673,-0.8668,-4.206,-6.9426,-8.1952,-9.0821,-9.3553,-5.5832,-8.3337,-8.8287,-9.1534,-9.2309,-4.853,-8.073,-7.765
1962,-0.4855,-4.2001,-1.2848,-5.5308,-2.1126,-0.6041,-1.5536,-3.9265,-2.9406,-1.9133,-1.427,-4.3312,-2.8268,-2.6813,-4.2896,-8.7612,-3.3167,-1.8087,-4.8525,-4.03,-0.703,-4.0964,-6.7018,-8.1225,-9.0047,-9.3303,-5.4536,-8.2684,-8.8509,-9.1553,-9.1383,-4.501,-8.1027,-7.682
1963,-0.544,-4.1239,-1.2562,-5.4054,-2.1539,-0.6761,-1.4893,-3.8833,-2.7689,-1.865,-1.3968,-4.3075,-2.8063,-2.6818,-4.2752,-8.7335,-3.2566,-1.6228,-4.7892,-3.9982,-0.5781,-3.9605,-6.8543,-8.0515,-8.9156,-9.3119,-5.2434,-8.2064,-8.8552,-9.1537,-9.0223,-4.1435,-8.1054,-7.5924
1964,-0.612,-4.0426,-1.23,-5.2476,-2.2159,-0.7573,-1.4615,-3.8463,-2.6184,-1.8527,-1.3451,-4.2856,-2.7993,-2.6968,-4.2628,-8.6226,-3.21,-1.4684,-4.6926,-3.9763,-0.528,-3.8058,-7.1725,-7.9843,-8.8112,-9.3014,-4.9443,-8.1526,-8.8423,-9.143,-8.8773,-3.8029,-8.0791,-7.495
1965,-0.663,-3.9433,-1.1839,-5.048,-2.2764,-0.8222,-1.4592,-3.8015,-2.4483,-1.8272,-1.3186,-3.3697,-2.7821,-2.6724,-4.2765,-8.407,-3.1642,-1.3524,-4.5571,-3.9145,-0.5302,-3.6233,-7.4686,-7.9097,-8.6882,-9.296,-4.5906,-8.107,-8.8119,-9.1197,-8.7021,-3.4804,-8.0178,-7.3891
1966,-0.7039,-3.8362,-1.136,-4.8074,-2.3188,-0.8725,-1.4769,-3.7346,-2.3104,-1.8166,-1.296,-3.2065,-2.7396,-2.6213,-4.2636,-8.1581,-3.1188,-1.2453,-4.3882,-3.7853,-0.5429,-3.422,-7.7766,-7.825,-8.5471,-9.2915,-4.2848,-8.0765,-8.7677,-9.0833,-8.5035,-3.2157,-7.9868,-7.2765
1967,-0.7406,-3.7473,-1.1055,-4.5432,-2.3341,-0.8862,-1.4931,-3.6379,-2.2022,-1.8294,-1.2671,-3.1271,-2.6703,-2.5812,-4.296,-7.9273,-3.0657,-1.1627,-4.2071,-3.6247,-0.5442,-3.2321,-7.8634,-7.7395,-8.3886,-9.282,-3.9981,-8.0612,-8.709,-9.0315,-8.2904,-2.9888,-7.9881,-7.1606
1968,-0.7616,-3.6885,-1.0752,-4.2678,-2.3153,-0.8891,-1.4502,-3.5362,-2.0781,-1.8342,-1.2209,-3.0539,-2.6039,-2.5245,-4.3968,-7.6832,-3.0047,-1.1124,-4.0326,-3.4426,-0.5134,-3.0585,-7.713,-7.6603,-8.2156,-9.2668,-3.6784,-8.0534,-8.6334,-8.9571,-8.0751,-2.7899,-7.9625,-7.0427
1969,-0.7689,-3.6731,-1.0233,-4.0019,-2.2704,-0.906,-1.3702,-3.4053,-1.9145,-1.8402,-1.1404,-2.9349,-2.5552,-2.4383,-4.4313,-7.4673,-2.9628,-1.0796,-3.8852,-3.2245,-0.4647,-2.9046,-7.6135,-7.5913,-8.0427,-9.2465,-3.3788,-8.0517,-8.5437,-8.8556,-7.8704,-2.6249,-7.9137,-6.9214
1970,-0.7399,-3.6774,-0.957,-3.7705,-2.2017,-0.8432,-1.2963,-3.255,-1.7177,-1.8363,-1.0205,-2.2403,-2.5347,-2.2829,-4.4243,-7.3051,-2.9283,-1.036,-3.7753,-2.8605,-0.4145,-2.7965,-7.5989,-7.5312,-7.8835,-9.2178,-3.1843,-8.0538,-8.4412,-8.727,-7.6942,-2.4775,-7.8397,-6.7972
1971,-0.7088,-3.6712,-0.918,-3.591,-2.1354,-0.7644,-1.2324,-3.134,-1.586,-1.865,-0.9099,-2.3151,-2.5547,-2.1122,-4.5224,-7.1952,-2.903,-0.9926,-3.6942,-2.5838,-0.367,-2.7148,-7.6008,-7.4805,-7.7445,-9.1795,-3.071,-8.0573,-8.3262,-8.5779,-7.5626,-2.4274,-7.7884,-6.6688
1972,-0.7083,-3.651,-0.9186,-3.4502,-2.0786,-0.7214,-1.2112,-3.0326,-1.5032,-1.9479,-0.8334,-2.1357,-2.6132,-2.0207,-4.6644,-7.1381,-2.8677,-0.9694,-3.6351,-2.5056,-0.3257,-2.6272,-7.5598,-7.4353,-7.63,-9.1276,-2.9782,-8.0588,-8.2019,-8.4192,-7.4708,-2.4687,-7.7613,-6.5363
1973,-0.703,-3.6005,-0.9266,-3.3358,-2.0012,-0.6601,-1.2224,-2.9423,-1.4156,-2.0238,-0.7585,-1.9602,-2.7009,-1.9714,-4.7445,-7.0805,-2.7867,-0.9392,-3.5898,-2.4295,-0.2982,-2.5393,-7.3631,-7.3942,-7.5395,-9.0576,-2.8718,-8.0583,-8.0766,-8.2537,-7.4076,-2.5377,-7.7164,-6.4027
