k,cohort,beta_1k
1,0-4,-0.37679999999999725
2,5-9,-0.07569999999999732
3,10-14,0.03600000000000236
4,15-19,0.02910000000000268
5,20-24,-0.03759999999999719
6,25-29,-0.1172999999999983
7,30-34,-0.1751999999999987
8,35-39,-0.18849999999999767
9,40-44,-0.1463999999999981
10,45-49,-0.050099999999996925
11,50-54,0.08720000000000017
12,55-59,0.24029999999999774
13,60-64,0.3719999999999999
14,65-69,0.43309999999999427
15,70-74,0.36240000000000094
16,75-79,0.08669999999999867
17,80+,-0.4792000000000023
