Year,AUT,AUS,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,GRC,IRL,ITA,JPN,KOR,NLD,NOR,NZL,PRT,SWE,USA,CHN,IND,BRA,MEX,RUS,ZAF,IDN,THA,MYS,POL,TUR,CHL
1960,4.5327,0.6153,3.5596,-0.7898,2.8064,4.409,3.1356,0.886,1.5386,2.8594,3.466,0.3411,1.9601,2.1094,0.5139,-3.6933,1.4602,2.6774,0.0319,0.738,3.8623,0.6131,-2.4785,-3.3493,-4.2331,-4.4676,-0.7609,-3.4771,-3.8722,-4.2326,-4.3836,-0.2645,-3.1915,-2.9219
1961,4.3991,0.5725,3.5163,-0.7947,2.7505,4.283,3.1814,0.8651,1.6861,2.8514,3.4082,0.3853,1.9547,2.1132,0.508,-3.8775,1.4553,2.8215,-0.0491,0.7665,3.9669,0.6278,-2.1089,-3.3615,-4.2484,-4.5216,-0.7495,-3.5,-3.995,-4.3197,-4.3971,-0.0192,-3.2393,-2.9313
1962,4.2788,0.5643,3.4795,-0.7665,2.6517,4.1603,3.2107,0.8379,1.8238,2.8511,3.3373,0.4332,1.9376,2.0831,0.4747,-3.9969,1.4477,2.9556,-0.0882,0.7343,4.0613,0.6679,-1.9375,-3.3582,-4.2403,-4.566,-0.6892,-3.504,-4.0866,-4.391,-4.374,0.2634,-3.3383,-2.9177
1963,4.1627,0.5828,3.4505,-0.6987,2.5528,4.0306,3.2174,0.8235,1.9378,2.8417,3.3099,0.3992,1.9004,2.0249,0.4315,-4.0268,1.4501,3.0839,-0.0825,0.7085,4.1286,0.7462,-2.1475,-3.3448,-4.2089,-4.6052,-0.5367,-3.4997,-4.1485,-4.447,-4.3156,0.5632,-3.3987,-2.8857
1964,4.0404,0.6098,3.4225,-0.5951,2.4366,3.8952,3.1909,0.8062,2.034,2.7998,3.3074,0.3668,1.8531,1.9556,0.3897,-3.9702,1.4425,3.184,-0.0401,0.6762,4.1245,0.8467,-2.52,-3.3318,-4.1587,-4.6489,-0.2918,-3.5001,-4.1898,-4.4905,-4.2249,0.8495,-3.4266,-2.8426
1965,3.8964,0.6162,3.3755,-0.4885,2.2831,3.7372,3.1003,0.7579,2.1112,2.7323,3.2409,1.1898,1.7773,1.887,0.283,-3.8476,1.3953,3.2071,0.0024,0.645,4.0292,0.9362,-2.9091,-3.3502,-4.1287,-4.7365,-0.0311,-3.5476,-4.2525,-4.5602,-4.1426,1.0791,-3.4583,-2.8296
1966,3.7796,0.6472,3.3474,-0.3239,2.1646,3.6109,3.0065,0.7488,2.173,2.6668,3.1874,1.2769,1.7438,1.8621,0.2198,-3.6747,1.3646,3.2381,0.0952,0.6981,3.9405,1.0614,-3.2932,-3.3416,-4.0637,-4.8081,0.1986,-3.5931,-4.2843,-4.5999,-4.0201,1.2677,-3.5034,-2.7931
1967,3.6631,0.6564,3.2982,-0.1395,2.0696,3.5175,2.9106,0.7658,2.2015,2.5743,3.1366,1.2766,1.7334,1.8225,0.1077,-3.5236,1.338,3.241,0.1966,0.779,3.8595,1.1716,-3.4597,-3.3358,-3.9849,-4.8783,0.4057,-3.6574,-4.3053,-4.6278,-3.8867,1.4149,-3.5844,-2.7569
1968,3.5499,0.623,3.2363,0.0437,1.9963,3.4224,2.8613,0.7753,2.2334,2.4773,3.0907,1.2577,1.7076,1.787,-0.0853,-3.3717,1.3069,3.1991,0.2789,0.8689,3.7981,1.253,-3.4015,-3.3487,-3.9041,-4.9553,0.6332,-3.7419,-4.3219,-4.6456,-3.7635,1.5216,-3.651,-2.7312
1969,3.4463,0.5421,3.1919,0.2133,1.9448,3.3092,2.8449,0.8099,2.3007,2.375,3.0748,1.2803,1.66,1.7769,-0.2161,-3.2521,1.2524,3.1356,0.33,0.9907,3.7505,1.3106,-3.3983,-3.3761,-3.8275,-5.0313,0.8363,-3.8365,-4.3285,-4.6404,-3.6552,1.5903,-3.6985,-2.7062
