strategy,start,end,gross_total_return,gross_ann_return,gross_ann_vol,gross_sharpe,gross_max_drawdown,gross_hit_rate,gross_best_month,gross_worst_month,net_5bps_total_return,net_5bps_ann_return,net_5bps_ann_vol,net_5bps_sharpe,net_5bps_max_drawdown,net_5bps_hit_rate,net_5bps_best_month,net_5bps_worst_month,net_10bps_total_return,net_10bps_ann_return,net_10bps_ann_vol,net_10bps_sharpe,net_10bps_max_drawdown,net_10bps_hit_rate,net_10bps_best_month,net_10bps_worst_month,net_25bps_total_return,net_25bps_ann_return,net_25bps_ann_vol,net_25bps_sharpe,net_25bps_max_drawdown,net_25bps_hit_rate,net_25bps_best_month,net_25bps_worst_month,months,avg_turnover,median_turnover,avg_gross_exposure,avg_net_exposure,description
TS_Q25_LS_P,2010-01-01,2026-04-01,1.3685033019254558,0.05420963039618387,0.07793893323873709,0.7175967185846579,-0.11052419738587727,0.6071428571428571,0.07394044539040018,-0.07062686573839554,1.2339341610178671,0.05044097776698253,0.07799516379785855,0.6710377145576467,-0.1153880464843503,0.6071428571428571,0.07384953629949109,-0.07108519907172887,1.1069374738167896,0.046683569945000336,0.07806488366953963,0.6244378764102714,-0.12022875832441438,0.5969387755102041,0.07375862720858199,-0.0715435324050622,0.7672770159276121,0.03547853299719761,0.07835458424316773,0.48463777462014923,-0.15710623221295983,0.5816326530612245,0.07348589993585472,-0.0729185324050622,196,0.5985043801070211,0.44999999999999984,2.0,-8.496604780294566e-18,Time-series top/bottom quartile long-short
TS_Q25_LONG_P,2010-01-01,2026-04-01,3.361309755122977,0.09436002426312107,0.1699859543409357,0.616982483511088,-0.263700515647869,0.6173469387755102,0.1731830008006858,-0.16455960287002072,3.2645331015047825,0.09285755921768146,0.16996515891677894,0.6089043310843294,-0.2660501347656268,0.6173469387755102,0.1731830008006858,-0.1647262695366874,3.16987653098386,0.0913567183120838,0.16994583358898513,0.6008190043152142,-0.268392859276535,0.6173469387755102,0.1731830008006858,-0.16489293620335405,2.898173685253681,0.0868639266339919,0.16989668300956798,0.57652203780051,-0.27537985077112614,0.6122448979591837,0.1731830008006858,-0.16539293620335405,196,0.23097247890165054,0.17424242424242425,1.0,1.0,Time-series top-quartile long-only
XS_Q25_LS_P,2008-01-01,2026-04-01,-0.4060280354856919,-0.028921319486487906,0.12191588255361967,-0.18054175885471022,-0.5914924481292151,0.45539906103286387,0.22108252966145936,-0.10896390062752315,-0.43802770673299474,-0.03194634010590569,0.12189242877804188,-0.2061119874236246,-0.6110774242551643,0.45539906103286387,0.22074919632812603,-0.10974961491323744,-0.4683200820046105,-0.03496364058580437,0.12187676525301236,-0.23167724846895707,-0.6297333637468079,0.4507042253521127,0.22041586299479268,-0.11053532919895172,-0.5498321484722621,-0.04396938150114249,0.12187653874801546,-0.30829413641406767,-0.6805529611539982,0.4413145539906103,0.21941586299479268,-0.11289247205609458,213,0.5187638131300102,0.2857142857142857,1.863849765258216,-0.13615023474178406,Cross-sectional top/bottom quartile long-short
XS_Q20_LS_P,2008-01-01,2026-04-01,-0.38644844428250547,-0.027145376707835123,0.1374194928637159,-0.13216375695216354,-0.61713428350021,0.4835680751173709,0.22108252966145936,-0.11302868155738273,-0.41579063951093775,-0.029827566959907847,0.13734497228207782,-0.15234618176505293,-0.6333649491238296,0.4835680751173709,0.22063808521701492,-0.11322868155738273,-0.4437458993148693,-0.03250396067104011,0.13727779996722833,-0.17254128325139165,-0.6489163306007115,0.4835680751173709,0.22019364077257048,-0.11342868155738273,-0.5199231704610809,-0.0404984606696166,0.1371204747092054,-0.23317017247419555,-0.691769749819023,0.4694835680751174,0.21886030743923712,-0.11402868155738273,213,0.4603509427453089,0.3333333333333333,1.7511737089201878,-0.24882629107981222,Cross-sectional top/bottom quintile long-short
XS_Q25_LONG_P,2008-01-01,2026-04-01,0.929142597359548,0.04378419680512757,0.168105890699782,0.33992182069928417,-0.3530303798319624,0.5869565217391305,0.15720121899425107,-0.16953660959994749,0.8888606850939724,0.04234872314543603,0.1680842078928945,0.33173877394221796,-0.3537356622954604,0.5815217391304348,0.15720121899425107,-0.1696477207110586,0.8494084704792839,0.04091480450950735,0.168064002065686,0.3235507722390063,-0.3544403871659588,0.5760869565217391,0.15720121899425107,-0.16975883182216972,0.7358631293592908,0.036622365566944426,0.1680122515962002,0.2989591711450257,-0.3565512191112252,0.5652173913043478,0.15720121899425107,-0.17009216515550304,184,0.23046856525117396,0.2222222222222222,1.0,1.0,Cross-sectional top-quartile long-only
EW_UNIVERSE,2007-01-01,2026-04-01,1.9366124509392293,0.05730178137873354,0.18143195739189563,0.40058703611730995,-0.580935943895436,0.5862068965517241,0.1599792648183469,-0.24554966914940418,1.9318022570756948,0.05721213232942679,0.18145783301316665,0.40008891383187,-0.5813520175976068,0.5862068965517241,0.1599792648183469,-0.24554966914940418,1.9269965293976026,0.05712242712478499,0.18148398496099372,0.39959032517414883,-0.5817680612147116,0.5862068965517241,0.1599792648183469,-0.24554966914940418,1.912606124019593,0.0568529736439638,0.18156409756346592,0.39809178840008264,-0.5830160115556311,0.5862068965517241,0.1599792648183469,-0.24554966914940418,232,0.013337125343144117,0.0,1.0,1.0,Equal-weight available-country benchmark
